Time,Distance,RSSI,SNR
14:46:48:847,1.31,-34,8
14:46:49:190,1.48,-35,8
14:46:49:550,1.66,-38,9
14:46:49:893,1.82,-34,8
14:46:50:237,1.99,-34,8
14:46:50:597,2.17,-35,9
14:46:50:940,2.34,-36,10
14:46:51:300,2.52,-50,11
14:46:51:643,2.69,-59,8
14:46:51:987,2.85,-56,11
14:46:52:346,3.03,-53,8
14:46:52:690,3.2,-54,8
14:46:53:050,3.38,-55,9
14:46:53:393,3.55,-58,11
14:46:53:753,3.72,-66,10
14:46:54:096,3.89,-57,10
14:46:54:440,4.06,-57,9
14:46:54:800,4.24,-63,9
14:46:55:143,4.41,-67,9
14:46:55:503,4.58,-67,10
14:46:55:846,4.75,-63,10
14:46:56:190,4.92,-58,11
14:46:56:549,5.1,-62,8
14:46:56:893,5.27,-64,8
14:46:57:253,5.65,-63,9
14:46:57:596,6.1,-66,9
14:46:57:956,6.56,-61,9
14:46:58:294,7,-58,9
14:46:58:653,7.47,-57,8
14:46:58:997,7.92,-54,9
14:46:59:356,8.38,-63,8
14:46:59:700,8.83,-65,10
14:47:00:044,9.28,-69,9
14:47:00:403,9.74,-74,9
14:47:00:747,10.19,-72,9
14:47:01:106,10.66,-67,10
14:47:01:450,11.1,-74,8
14:47:01:794,11.55,-75,8
14:47:02:153,12.02,-77,9
14:47:02:497,12.46,-79,9
14:47:02:856,12.93,-79,8
14:47:03:200,13.38,-87,6
14:47:03:559,13.84,-75,9
14:47:03:903,14.29,-74,10
14:47:04:247,14.74,-73,10
14:47:04:606,15.2,-68,9
14:47:05:309,16.12,-85,7
14:47:05:653,16.56,-72,10
14:47:05:997,17.01,-77,9
14:47:06:356,17.48,-76,10
14:47:06:706,17.93,-70,8
14:47:07:049,18.38,-77,10
14:47:07:409,18.84,-74,10
14:47:07:753,19.29,-67,10
14:47:08:096,19.76,-71,9
14:47:08:456,20.3,-79,10
14:47:08:799,20.83,-76,10
14:47:09:148,21.36,-67,8
14:47:09:508,21.9,-79,9
14:47:09:851,22.42,-69,10
14:47:10:211,22.97,-72,9
14:47:10:555,23.49,-73,11
14:47:10:898,24.01,-76,8
14:47:11:258,24.56,-68,10
14:47:11:601,25.08,-73,11
14:47:11:961,25.63,-71,9
14:47:12:304,26.15,-65,9
14:47:12:664,26.7,-67,11
14:47:13:008,27.22,-66,9
14:47:13:351,27.74,-68,9
14:47:13:711,28.29,-66,11
14:47:14:054,28.81,-69,9
14:47:14:414,29.35,-69,9
14:47:14:757,29.88,-65,8
14:47:15:101,30.4,-67,10
14:47:15:461,30.94,-64,9
14:47:15:804,31.47,-70,11
14:47:16:164,32.01,-85,8
14:47:16:507,32.53,-75,10
14:47:16:851,33.06,-86,8
14:47:17:211,33.6,-72,9
14:47:17:554,34.12,-75,11
14:47:17:914,34.67,-78,10
14:47:18:257,35.13,-81,8
14:47:18:617,35.59,-76,11
14:47:18:960,36.04,-81,10
14:47:19:304,36.48,-83,9
14:47:19:664,36.94,-92,4
14:47:20:017,37.39,-85,7
14:47:20:353,37.83,-80,9
14:47:20:713,38.29,-78,11
14:47:21:062,38.74,-83,8
14:47:21:404,39.18,-85,8
14:47:21:763,39.64,-90,6
14:47:22:107,40.08,-83,9
14:47:22:467,40.54,-76,9
14:47:22:810,40.98,-70,11
14:47:23:170,41.45,-85,8
14:47:23:513,41.89,-87,7
14:47:23:857,42.33,-92,3
14:47:24:217,42.79,-80,9
14:47:24:560,43.23,-81,11
14:47:24:920,43.7,-81,8
14:47:25:263,44.14,-88,6
14:47:25:607,44.58,-95,1
14:47:25:966,45.04,-80,9
14:47:26:310,45.48,-80,8
14:47:26:670,45.95,-88,7
14:47:27:013,46.39,-81,8
14:47:27:357,46.83,-90,6
14:47:27:716,47.29,-88,6
14:47:28:060,47.73,-84,8
14:47:28:419,48.19,-84,8
14:47:28:763,48.64,-82,10
14:47:29:123,49.12,-84,9
14:47:29:466,49.62,-85,8
14:47:29:810,50.12,-81,10
14:47:30:169,50.64,-86,8
14:47:30:513,51.14,-78,9
14:47:30:873,51.67,-91,6
14:47:31:218,52.17,-96,0
14:47:31:562,52.67,-81,10
14:47:31:921,53.19,-83,9
14:47:32:265,53.69,-84,8
14:47:32:625,54.21,-80,8
14:47:32:968,54.71,-78,9
14:47:33:312,55.21,-78,11
14:47:33:671,55.74,-73,11
14:47:34:015,56.24,-75,8
14:47:34:374,56.76,-70,8
14:47:34:718,57.26,-73,8
14:47:35:076,57.78,-73,8
14:47:35:420,58.28,-76,10
14:47:35:764,58.78,-79,10
14:47:36:123,59.3,-72,9
14:47:36:467,59.8,-74,10
14:47:36:826,60.32,-73,9
14:47:37:170,60.83,-72,9
14:47:37:514,61.33,-75,11
14:47:37:873,61.85,-75,11
14:47:38:217,62.35,-75,11
14:47:38:576,62.87,-76,8
14:47:38:920,63.37,-74,8
14:47:39:264,63.87,-73,11
14:47:39:623,64.39,-77,8
14:47:39:967,64.89,-78,10
14:47:40:326,65.53,-74,9
14:47:40:670,66.14,-75,11
14:47:41:029,66.78,-76,8
14:47:41:373,67.4,-76,11
14:47:41:717,68.02,-75,9
14:47:42:070,68.65,-74,8
14:47:42:429,69.29,-77,9
14:47:42:773,69.91,-73,8
14:47:43:117,70.52,-76,10
14:47:43:476,71.17,-79,8
14:47:43:820,71.78,-86,8
14:47:44:179,72.43,-83,9
14:47:44:523,73.04,-83,9
14:47:44:882,73.69,-81,11
14:47:45:226,74.3,-79,8
14:47:45:570,74.92,-78,9
14:47:45:929,75.56,-78,11
14:47:46:273,76.18,-80,9
14:47:46:632,76.82,-81,8
14:47:46:976,77.44,-89,7
14:47:47:320,78.05,-80,8
14:47:47:679,78.69,-83,8
14:47:48:023,79.31,-84,8
14:47:48:382,79.95,-83,8
14:47:48:726,80.57,-79,10
14:47:49:070,81.19,-81,10
14:47:49:429,81.83,-79,11
14:47:49:773,82.44,-78,9
14:47:50:132,83.09,-78,8
14:47:50:476,83.7,-78,9
14:47:50:835,84.35,-79,11
14:47:51:179,84.96,-79,8
14:47:51:523,85.56,-81,8
14:47:51:882,86.19,-83,7
14:47:52:226,86.79,-82,10
14:47:52:585,87.42,-79,8
14:47:52:929,88.03,-81,9
14:47:53:282,88.65,-77,9
14:47:53:626,89.25,-78,9
14:47:53:985,89.88,-78,9
14:47:54:329,90.49,-75,8
14:47:54:673,91.09,-82,8
14:47:55:032,91.72,-84,8
14:47:55:376,92.32,-82,7
14:47:55:735,92.95,-81,10
14:47:56:079,93.56,-82,7
14:47:56:438,94.19,-79,10
14:47:56:782,94.79,-79,10
14:47:57:126,95.4,-80,10
14:47:57:485,96.03,-79,8
14:47:57:829,96.63,-82,8
14:47:58:188,97.26,-83,7
14:47:58:532,97.86,-86,7
14:47:58:876,98.47,-78,11
14:47:59:235,99.1,-80,8
14:47:59:579,99.7,-80,8
14:47:59:938,100.33,-83,8
14:48:00:282,100.94,-82,10
14:48:00:641,101.57,-80,7
14:48:00:985,102.17,-82,8
14:48:01:329,102.77,-81,9
14:48:01:688,103.4,-79,7
14:48:02:032,104.01,-83,8
14:48:02:391,104.63,-85,8
14:48:02:735,105.23,-82,10
14:48:03:085,105.84,-85,7
14:48:03:429,106.43,-80,7
14:48:03:788,107.06,-79,8
14:48:04:132,107.65,-83,8
14:48:04:491,108.28,-81,9
14:48:04:835,108.87,-83,7
14:48:05:179,109.47,-87,9
14:48:05:538,110.09,-87,8
14:48:05:882,110.69,-80,8
14:48:06:241,111.32,-83,8
14:48:06:585,111.91,-81,8
14:48:06:944,112.54,-82,7
14:48:07:288,113.13,-87,8
14:48:07:632,113.73,-89,6
14:48:07:991,114.35,-86,7
14:48:08:335,114.95,-88,7
14:48:08:694,115.57,-89,6
14:48:09:038,116.17,-91,4
14:48:09:382,116.77,-84,8
14:48:09:741,117.39,-87,9
14:48:10:085,117.99,-85,7
14:48:10:444,118.61,-87,8
14:48:10:788,119.21,-82,8
14:48:11:147,119.83,-81,9
14:48:11:491,120.43,-82,10
14:48:11:835,121.03,-78,8
14:48:12:194,121.65,-82,7
14:48:12:538,122.25,-84,8
14:48:12:897,122.87,-78,9
14:48:13:241,123.4,-86,9
14:48:13:585,123.9,-84,9
14:48:13:944,124.41,-83,8
14:48:14:297,124.92,-85,7
14:48:14:641,125.42,-90,6
14:48:14:985,125.92,-85,7
14:48:15:344,126.44,-90,6
14:48:15:688,126.93,-89,7
14:48:16:047,127.45,-86,7
14:48:16:391,127.95,-92,4
14:48:16:750,128.47,-89,7
14:48:17:094,128.96,-94,3
14:48:17:438,129.46,-87,9
14:48:17:797,129.98,-87,8
14:48:18:141,130.47,-86,7
14:48:18:500,130.99,-84,7
14:48:18:844,131.49,-85,7
14:48:19:188,131.98,-93,4
14:48:19:547,132.5,-88,7
14:48:19:891,133,-90,6
14:48:20:250,133.52,-85,7
14:48:20:594,134.01,-83,7
14:48:20:938,134.51,-84,9
14:48:21:297,135.03,-89,7
14:48:21:641,135.53,-83,8
14:48:22:000,136.04,-87,8
14:48:22:344,136.54,-87,8
14:48:22:703,137.06,-88,8
14:48:23:052,137.56,-81,10
14:48:23:393,138.06,-87,8
14:48:23:752,138.57,-81,8
14:48:24:102,139.09,-83,7
14:48:24:445,139.6,-84,9
14:48:24:805,140.15,-84,8
14:48:25:148,140.66,-90,6
14:48:25:492,141.18,-93,5
14:48:25:851,141.72,-87,8
14:48:26:195,142.24,-91,5
14:48:26:555,142.78,-89,6
14:48:26:898,143.3,-88,7
14:48:27:242,143.82,-88,8
14:48:27:601,144.36,-87,8
14:48:27:945,144.88,-86,7
14:48:28:305,145.42,-85,7
14:48:28:648,145.94,-88,8
14:48:28:992,146.46,-86,8
14:48:29:351,147,-91,4
14:48:29:695,147.52,-93,4
14:48:30:054,148.06,-88,8
14:48:30:398,148.58,-90,6
14:48:30:758,149.12,-92,6
14:48:31:101,149.64,-90,7
14:48:31:452,150.17,-93,4
14:48:31:796,150.69,-88,8
14:48:32:159,151.24,-94,2
14:48:32:846,152.27,-94,3
14:48:33:199,152.81,-91,6
14:48:33:559,153.35,-90,6
14:48:33:903,153.87,-92,5
14:48:34:256,154.4,-92,5
14:48:34:599,154.92,-97,0
14:48:35:301,156,-94,4
14:48:35:660,156.58,-94,3
14:48:36:004,157.13,-98,-4
14:48:36:348,157.69,-97,-1
14:48:36:706,158.26,-99,-5
14:48:37:049,158.81,-95,4
14:48:37:409,159.39,-89,6
14:48:37:752,159.94,-93,5
14:48:38:112,160.52,-100,-10
14:48:38:799,161.62,-98,0
14:48:39:159,162.2,-98,-3
14:48:39:502,162.75,-95,3
14:48:40:549,164.43,-97,1
14:48:40:909,165.01,-91,5
14:48:41:252,165.56,-91,5
14:48:41:612,166.14,-96,0
14:48:41:955,166.69,-100,-11
14:48:42:315,167.27,-97,0
14:48:42:658,167.82,-93,5
14:48:43:002,168.37,-96,0
14:48:43:362,168.95,-96,0
14:48:43:705,169.5,-90,6
14:48:44:058,170.06,-93,5
14:48:44:402,170.62,-91,5
14:48:44:761,171.19,-87,7
14:48:45:101,171.74,-89,6
14:48:45:461,172.32,-88,8
14:48:45:805,172.87,-89,7
14:48:46:164,173.43,-93,5
14:48:46:508,173.97,-88,8
14:48:46:867,174.52,-88,7
14:48:47:211,175.05,-89,7
14:48:47:554,175.58,-98,-1
14:48:47:914,176.13,-92,4
14:48:48:258,176.67,-90,6
14:48:48:617,177.22,-87,9
14:48:48:961,177.75,-87,8
14:48:49:304,178.28,-89,7
14:48:49:664,178.83,-90,6
14:48:50:007,179.36,-88,7
14:48:50:367,179.92,-92,4
14:48:50:711,180.45,-94,5
14:48:51:070,181,-93,3
14:48:51:414,181.53,-93,4
14:48:51:757,182.06,-91,6
14:48:52:117,182.62,-89,7
14:48:52:820,183.7,-89,6
14:48:53:164,184.23,-95,3
14:48:53:507,184.76,-93,5
