Time,Distance,RSSI,SNR
15:03:38:306,6.06,-43,10
15:03:38:306,6.06,-44,8
15:03:38:306,6.06,-48,9
15:03:38:306,6.06,-53,8
15:03:38:306,6.06,-49,9
15:03:38:306,6.06,-52,11
15:03:38:306,6.06,-47,8
15:03:38:306,6.06,-51,10
15:03:38:306,6.06,-49,10
15:03:38:306,6.06,-56,8
15:03:38:306,6.06,-38,8
15:03:38:306,6.06,-43,11
15:03:38:306,6.06,-43,9
15:03:38:321,6.05,-51,9
15:03:38:321,6.05,-41,8
15:03:38:321,6.05,-42,9
15:03:38:321,6.05,-43,9
15:03:38:321,6.05,-40,9
15:03:38:321,6.05,-41,11
15:03:38:321,6.05,-40,8
15:03:38:321,6.05,-43,9
15:03:38:321,6.05,-50,11
15:03:38:321,6.05,-45,9
15:03:38:321,6.05,-44,8
15:03:38:321,6.05,-53,8
15:03:38:321,6.05,-50,8
15:03:38:321,6.05,-58,11
15:03:38:321,6.05,-51,8
15:03:38:321,6.05,-49,9
15:03:38:321,6.05,-68,9
15:03:38:321,6.05,-49,9
15:03:38:321,6.05,-51,8
15:03:38:321,6.05,-46,11
15:03:38:321,6.05,-46,9
15:03:38:321,6.05,-43,9
15:03:38:321,6.05,-45,8
15:03:38:321,6.05,-44,9
15:03:38:321,6.05,-45,8
15:03:38:321,6.05,-49,10
15:03:38:321,6.05,-45,9
15:03:38:321,6.05,-48,8
15:03:38:321,6.05,-47,8
15:03:38:321,6.05,-46,9
15:03:38:321,6.05,-45,8
15:03:38:321,6.05,-47,8
15:03:38:321,6.05,-47,8
15:03:38:321,6.05,-50,11
15:03:38:321,6.05,-46,9
15:03:38:337,6.04,-45,8
15:03:38:337,6.04,-45,9
15:03:38:337,6.04,-44,8
15:03:38:337,6.04,-48,8
15:03:38:337,6.04,-47,8
15:03:38:337,6.04,-48,8
15:03:38:337,6.04,-49,11
15:03:38:337,6.04,-50,9
15:03:38:337,6.04,-50,9
15:03:38:337,6.04,-63,10
15:03:38:337,6.04,-51,8
15:03:38:337,6.04,-49,8
15:03:38:337,6.04,-54,9
15:03:38:337,6.04,-52,11
15:03:38:337,6.04,-50,8
15:03:38:337,6.04,-51,8
15:03:38:337,6.04,-58,9
15:03:38:337,6.04,-56,8
15:03:38:337,6.04,-47,8
15:03:38:337,6.04,-52,11
15:03:38:337,6.04,-49,11
15:03:38:337,6.04,-50,8
15:03:38:337,6.04,-49,11
15:03:38:337,6.04,-51,9
15:03:38:337,6.04,-48,8
15:03:38:337,6.04,-49,9
15:03:38:337,6.04,-50,8
15:03:38:337,6.04,-71,9
15:03:38:337,6.04,-55,10
15:03:38:337,6.04,-56,11
15:03:38:337,6.04,-60,10
15:03:38:337,6.04,-51,8
15:03:38:337,6.04,-50,8
15:03:38:352,6.03,-47,8
15:03:38:352,6.03,-55,9
15:03:38:353,6.03,-62,11
15:03:38:353,6.03,-57,8
15:03:38:353,6.03,-52,9
15:03:38:353,6.03,-53,11
15:03:38:353,6.03,-57,10
15:03:38:353,6.03,-49,11
15:03:38:353,6.03,-58,11
15:03:38:353,6.03,-52,10
15:03:38:353,6.03,-55,8
15:03:38:353,6.03,-55,9
15:03:38:353,6.03,-57,11
