13:39:14:205,1.62,-49,9
13:39:14:553,2.27,-47,8
13:39:14:905,2.92,-50,9
13:39:15:253,3.57,-49,9
13:39:15:605,4.23,-47,9
13:39:15:953,4.87,-46,9
13:39:16:306,5.53,-50,8
13:39:16:655,6.18,-47,8
13:39:17:007,6.83,-48,10
13:39:17:355,7.48,-54,10
13:39:17:707,8.14,-52,10
13:39:18:055,8.78,-53,9
13:39:18:406,9.44,-62,10
13:39:18:758,10.09,-55,8
13:39:19:106,10.74,-56,11
13:39:19:455,11.39,-65,9
13:39:19:807,12.04,-64,9
13:39:20:155,12.69,-67,11
13:39:20:507,13.34,-64,10
13:39:20:859,14.0,-69,11
13:39:21:207,14.65,-67,8
13:39:21:559,15.3,-69,9
13:39:21:907,15.95,-64,9
13:39:22:259,16.6,-65,10
13:39:22:608,17.25,-65,10
13:39:22:960,17.91,-71,7
13:39:23:309,18.56,-76,7
13:39:23:661,19.21,-79,8
13:39:24:009,19.84,-70,11
13:39:24:361,19.95,-67,8
13:39:24:708,20.05,-87,3
13:39:25:060,20.15,-82,6
13:39:25:410,20.25,-74,9
13:39:25:761,20.36,-84,6
13:39:26:109,20.46,-72,9
13:39:26:461,20.56,-75,9
13:39:26:809,20.67,-76,8
13:39:27:161,20.77,-75,9
13:39:27:513,20.87,-70,6
13:39:27:861,20.97,-67,8
13:39:28:213,21.08,-69,8
13:39:28:562,21.18,-70,10
13:39:28:910,21.28,-76,6
13:39:29:262,21.39,-70,8
13:39:29:962,21.59,-73,8
13:39:30:314,21.69,-82,6
13:39:30:661,21.8,-75,11
13:39:31:013,21.9,-81,8
13:39:31:363,22.0,-78,7
13:39:31:715,22.11,-79,8
13:39:32:414,22.31,-78,9
13:39:32:766,22.41,-83,7
13:39:33:114,22.52,-89,4
13:39:33:466,22.62,-85,8
13:39:33:814,22.72,-78,8
13:39:34:166,22.83,-84,8
13:39:34:515,22.93,-81,9
13:39:35:215,23.21,-83,6
13:39:35:567,23.43,-84,4
13:39:35:915,23.65,-85,7
13:39:36:267,23.87,-84,6
13:39:36:615,24.09,-85,6
13:39:36:967,24.31,-90,-1
13:39:37:316,24.53,-87,6
13:39:38:018,24.97,-86,5
13:39:38:369,25.2,-82,9
13:39:38:718,25.42,-81,8
13:39:39:066,25.64,-80,9
13:39:39:419,25.86,-84,9
13:39:39:770,26.08,-80,7
13:39:40:118,26.3,-81,7
13:39:40:468,26.52,-82,7
13:39:41:171,26.96,-85,6
13:39:41:519,27.18,-89,2
13:39:41:871,27.41,-86,5
13:39:42:219,27.63,-85,5
13:39:42:571,27.85,-87,5
13:39:42:919,28.07,-86,7
13:39:43:264,28.28,-85,7
13:39:43:620,28.51,-94,0
13:39:43:972,28.73,-93,1
13:39:44:320,28.95,-89,6
13:39:44:672,29.17,-89,0
13:39:45:020,29.39,-90,3
13:39:45:372,29.61,-86,6
13:39:45:720,29.83,-88,5
13:39:46:072,30.11,-86,6
13:39:46:421,30.6,-86,3
13:39:46:773,31.09,-86,5
13:39:47:121,31.57,-86,6
13:39:47:473,32.06,-95,-2
13:39:47:821,32.54,-84,6
