13:04:14:543,8.87,-43,11
13:04:14:895,10.04,-43,11
13:04:15:247,11.2,-43,11
13:04:15:596,12.35,-42,8
13:04:15:944,13.5,-44,8
13:04:16:296,14.67,-46,8
13:04:16:644,15.82,-56,9
13:04:16:996,16.98,-64,9
13:04:17:348,18.14,-62,8
13:04:17:698,19.3,-62,10
13:04:18:046,20.45,-58,11
13:04:18:396,21.61,-60,10
13:04:18:748,22.77,-60,9
13:04:19:096,23.92,-56,11
13:04:19:448,25.08,-60,10
13:04:19:796,26.24,-65,10
13:04:20:147,27.4,-62,10
13:04:20:499,28.56,-68,8
13:04:20:847,29.71,-65,10
13:04:21:199,30.87,-59,8
13:04:21:547,32.02,-62,10
13:04:21:899,33.19,-65,9
13:04:22:247,34.34,-67,11
13:04:22:601,35.51,-68,9
13:04:22:949,36.66,-63,9
13:04:23:301,37.82,-64,10
13:04:23:648,38.97,-61,9
13:04:24:000,40.13,-65,8
13:04:24:348,41.28,-76,9
13:04:24:700,42.44,-67,8
13:04:25:048,43.6,-83,8
13:04:25:401,44.76,-71,9
13:04:25:749,45.91,-76,9
13:04:26:101,47.08,-70,10
13:04:26:453,48.24,-68,8
13:04:26:801,49.39,-77,9
13:04:27:152,50.55,-66,9
13:04:27:500,51.7,-73,9
13:04:27:852,52.86,-69,10
13:04:28:204,54.03,-74,9
13:04:28:554,55.18,-81,7
13:04:28:895,56.31,-72,10
13:04:29:254,57.5,-72,8
13:04:29:604,58.65,-76,8
13:04:29:952,59.81,-71,8
13:04:30:304,60.97,-77,10
13:04:30:653,62.12,-74,8
13:04:31:005,63.29,-75,8
13:04:31:353,64.44,-83,7
13:04:31:705,65.6,-84,8
13:04:32:052,66.75,-76,10
13:04:32:402,67.9,-88,6
13:04:32:747,69.04,-84,7
13:04:33:455,69.8,-77,9
13:04:33:803,69.74,-83,6
13:04:34:156,69.67,-78,10
13:04:34:508,69.61,-85,7
13:04:34:856,69.55,-81,6
13:04:35:206,69.49,-86,7
13:04:35:544,69.43,-87,6
13:04:36:247,69.3,-81,9
13:04:36:608,69.24,-77,9
13:04:36:956,69.18,-86,8
13:04:37:308,69.11,-75,10
13:04:37:656,69.05,-79,8
13:04:38:008,68.99,-84,8
13:04:38:357,68.93,-82,7
13:04:38:709,68.86,-81,8
13:04:39:057,68.8,-79,10
13:04:39:409,68.74,-79,9
13:04:39:757,68.68,-79,9
13:04:40:109,68.61,-88,7
13:04:40:459,68.55,-78,8
13:04:40:811,68.49,-84,7
13:04:41:159,68.43,-81,8
13:04:41:510,68.37,-80,8
13:04:41:858,68.3,-79,8
13:04:42:210,68.24,-87,7
13:04:42:558,68.18,-88,4
13:04:42:910,68.12,-88,4
13:04:43:262,68.13,-79,10
13:04:43:610,68.17,-85,7
13:04:43:962,68.21,-86,7
13:04:44:659,68.3,-89,6
13:04:45:011,68.34,-86,7
13:04:45:363,68.38,-80,8
13:04:45:711,68.42,-76,8
13:04:46:063,68.46,-72,8
13:04:46:411,68.51,-70,11
13:04:46:763,68.55,-72,10
13:04:47:111,68.59,-80,9
13:04:47:461,68.63,-88,6
13:04:47:813,68.67,-91,2
13:04:48:165,68.72,-80,8
13:04:48:512,68.76,-83,8
13:04:48:864,68.8,-79,8
13:04:49:212,68.84,-89,3
13:04:49:564,68.88,-89,6
13:04:49:916,68.92,-93,3
13:04:50:264,68.97,-84,8
13:04:50:616,69.01,-86,7
13:04:50:964,69.05,-85,6
13:04:51:316,69.09,-86,7
13:04:51:664,69.13,-85,7
13:04:52:015,69.17,-90,4
13:04:52:367,69.22,-85,8
13:04:53:067,69.3,-87,8
13:04:53:415,69.34,-95,0
13:04:53:767,69.38,-82,8
13:04:54:115,69.54,-81,10
